Keyword Stats 2026-05-18 at 11_43_57
"April 1, 2025 - March 31, 2026"
Keyword	Currency	Avg. monthly searches	Three month change	YoY change	Competition	Competition (indexed value)	Top of page bid (low range)	Top of page bid (high range)	Ad impression share	Organic impression share	Organic average position	In account?	In plan?	Searches: Apr 2025	Searches: May 2025	Searches: Jun 2025	Searches: Jul 2025	Searches: Aug 2025	Searches: Sep 2025	Searches: Oct 2025	Searches: Nov 2025	Searches: Dec 2025	Searches: Jan 2026	Searches: Feb 2026	Searches: Mar 2026
solar panels	INR	500000	0%	0%	High	85	3.08	41.07																	
best solar panels	INR	5000	0%	0%	Medium	56	3.21	24.56																	
solar panel price	INR	500000	900%	0%	High	96	0.71	24.10																	
solar panel companies	INR	5000	0%	0%	Low	20	9.21	52.74																	
solar panel cleaning	INR	5000	0%	0%	High	92	0.77	2.04																	
solar panel system	INR	5000	0%	0%	Medium	53	4.33	39.44																	
cheap solar panels	INR	500	0%	0%	High	99	0.59	27.86																	
solar panel cleaning service	INR	5000	0%	0%	Low	18	1.28	25.09																	
solar panel cleaning near me	INR	500	0%	0%	Low	17	2.07	33.83																	
pv panels	INR	5000	0%	0%	Low	1	4.55	202.30																	
photovoltaic panels	INR	5000	0%	0%	Low	1	4.55	202.30																	
solar panel maintenance near me	INR	50	0%	0%	Low	29	3.39	71.77																	
solar panel suppliers	INR	500	900%	0%	Low	27	7.83	44.76																	
solar panel manufacturers	INR	5000	0%	0%	Low	10	10.71	50.02																	
solar power panels	INR	500	900%	900%	Low	17	5.68	39.97																	
solar module	INR	5000	0%	0%	Medium	44	3.25	37.98																	
pv solar panels	INR	5000	0%	0%	Low	1	4.55	48.65																	
solar panel service near me	INR	500	0%	0%	Medium	35	8.54	55.45																	
solar panel maintenance	INR	500	0%	900%	Low	3	4.56	254.58																	
compare solar panels	INR	500	0%	0%	Low	9	1.74	30.37																	
solar panel service	INR	500	0%	0%	Low	19	9.67	52.34																	
solar panel suppliers near me	INR	500	0%	0%	Medium	41	7.25	45.20																	
industrial solar panels	INR	500	0%	0%	Low	11	15.35	108.39																	
solar panel cleaning service near me	INR	500	0%	0%	Low	11	1.24	34.43																	
solar cleaning service	INR	5000	0%	0%	Low	18	2.20	53.24																	
solar providers	INR	500	0%	0%	Medium	41	22.50	66.20																	
solar cleaning	INR	5000	0%	0%	High	94	0.83	2.25																	
solar panel cleaning equipment	INR	500	0%	0%	High	100	0.80	2.48																	
solar panel cleaning brush	INR	5000	0%	0%	High	100	0.85	1.01																	
cleaning solar panels on roof	INR	50	0%	0%	High	88	1.02	2.18																	
solar panel providers	INR	5000	0%	0%	Low	20	9.21	52.74																	
solar energy panels	INR	5000	900%	900%	Low	6	7.15	52.80																	
solar panel cleaning cost	INR	500	0%	0%	Low	24																			
solar photovoltaic panels	INR	5000	0%	0%	Low	1	4.55	48.65																	
solar cleaning near me	INR	500	0%	0%	Low	9	2.13	61.95																	
solar power price	INR	5000	0%	0%	High	70	1.26	23.69																	
solar equipment	INR	500	0%	0%	High	73	1.52	27.24																	
solar products	INR	5000	0%	0%	High	79	0.63	20.74																	
best way to clean solar panels	INR	50	0%	-90%	High	95	0.59	3.34																	
solar panel cleaning kit	INR	500	900%	0%	High	97	1.74	2.19																	
solar maintenance	INR	500	0%	0%	Low	5	9.31	255.39																	
solar panel maintenance cost	INR	500	0%	0%	Low	1	0.59	87.16																	
solar plant	INR	50000	0%	0%	Low	9	8.36	44.19																	
solar panel maintenance companies	INR	50	0%	0%	Low	4																			
solar system suppliers	INR	50	0%	0%	Medium	38	14.72	64.90																	
solar maintenance services near me	INR	50	0%	0%	Low	33	3.67	47.74																	
solar system maintenance	INR	50	0%	0%	Low	6	4.01	60.84																	
us solar panel manufacturers	INR	500	0%	0%	Low	19	160.26	417.45																	
solar plate	INR	5000	0%	0%	High	91	0.79	31.01																	
solar panel manufacturers in india	INR	5000	0%	-90%	Low	14	5.98	32.49																	
shop solar panels	INR	50	0%	-90%	Medium	56	1.32	26.28																	
clean solar panels near me	INR	50	0%	0%	Low	0																			
best solar power	INR	50	0%	0%	Medium	38	5.34	56.86																	
industrial solar panel installation	INR	50	0%	0%	Low	21	19.02	122.07																	
solar panel cleaning robot	INR	5000	0%	0%	Medium	39	0.88	3.34																	
solar panel cleaning company	INR	5000	0%	0%	Low	18	1.28	25.09																	
solar pv installation	INR	500	900%	900%	Low	1	11.36	33.45																	
solar panel cleaning san diego	INR	50	0%	0%	Low	29																			
solar panels suppliers near me	INR	500	0%	0%	Medium	41	7.25	45.20																	
solar panel washing	INR	5000	0%	0%	High	95	0.86	1.04																	
best solar panel system	INR	50	0%	0%	Medium	37	3.09	25.86																	
photovoltaic panels price	INR	500000	900%	0%	High	96	0.71	24.10																	
good solar panels	INR	5000	0%	0%	Medium	56	3.21	24.56																	
solar panel washing service	INR	50	0%	0%	Low	27	2.65	42.23																	
solar maintenance service	INR	500	0%	0%	Low	14	5.35	67.31																	
solar panel price in india	INR	5000	0%	0%	High	87	0.73	19.00																	
best solar panels in india	INR	5000	0%	0%	Low	30	2.71	27.75																	
solar power suppliers	INR	500	0%	0%	Medium	57	10.02	67.46																	
energy panels	INR	50	0%	0%	Low	1																			
top solar panel manufacturers	INR	50	0%	0%	Low	2																			
roof and solar panel cleaning	INR	50	0%	0%	High	100																			
solar system providers	INR	50	0%	0%	Low	23	16.20	45.38																	
solar clean	INR	5000	0%	0%	High	94	0.83	2.25																	
solar panels us	INR	500	0%	0%	Medium	40	70.06	373.32																	
solar energy price	INR	500	0%	0%	Medium	41	1.52	28.70																	
solar cleaning equipment	INR	50	0%	0%	High	97	0.55	0.66																	
solar pv suppliers	INR	500	900%	900%	Low	1																			
solar panel production	INR	500	0%	0%	Low	2	15.47	31.34																	
solar cleaning brush	INR	5000	0%	0%	High	100	0.79	0.97																	
best company solar panel	INR	5000	0%	0%	Low	27	7.16	29.60																	
about solar panels	INR	500	0%	0%	Low	8	1.52	191.94																	
solar panel cleaning solution	INR	500	0%	0%	High	95	0.60	0.97																	
solar panel cleaning jobs	INR	50	0%	0%	Low	2																			
all about solar panels	INR	500	0%	0%	Medium	38	0.82	80.61																	
solar panel cleaning company near me	INR	50	0%	0%	Low	9																			
solar panel vendors	INR	500	0%	0%	Low	28	11.77	64.00																	
solar panel cleaning prices	INR	500	0%	0%	Low	24																			
solar panel cleaning service cost	INR	50	0%	0%	Low	1																			
cleaning solar panels near me	INR	50	-100%	-100%	Unknown																				
newest solar panels	INR	500	0%	0%	Medium	47	1.40	54.20																	
solar system panel price	INR	500	900%	0%	High	95	2.71	24.41																	
industrial solar system	INR	500	0%	-90%	Low	16	26.92	280.41																	
solar panel cleaning tools	INR	500	0%	0%	High	100	0.70	0.79																	
best solar panel manufacturers	INR	50	0%	0%	Low	12	5.31	58.41																	
solar pv module	INR	5000	0%	0%	Low	14	8.36	33.59																	
solar panel cleaning san antonio	INR	50	-100%	0%	Unknown																				
solar panel cleaning business	INR	50	900%	900%	Low	5																			
solar panel cleaning gold coast	INR	50	0%	0%	Low	0																			
solar power service	INR	50	0%	0%	Low	1																			
